"Клеймо за време","Факултетен номер","Номер на въпроса","Цел на въпроса","Тип на въпроса","Въпрос","Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор","Забележка"
"2013/04/02 12:12:26 сл.об. Гринуич+3","9999","1","Реферат по WWW.","","Колко време според вас отнема писането на реферат по WWW технологии?","20+ часа","10 часа","5 часа","1 час","1","5","Браво! Наистина времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Далече от истината! Времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Виж: http://moodle.le.tsdoit.org/pluginfile.php/842/mod_forum/attachment/139/wwwTech_Evaluation_Instructions_v3.pdf"
"2013/04/23 4:46:06 сл.об. Гринуич+3","9999","1","Реферат по WWW.","3","Какво е APM?","аpplication performance management","automatic performance management","application project management","automatic project management","1","3","Верен отговор! За повече информация по темата виж секция 4.1. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.1. от реферата.","http://en.wikipedia.org/wiki/Application_Performance_Management"
"2013/04/23 4:52:06 сл.об. Гринуич+3","9999","2","Реферат по WWW.","3","На коя компания принадлежи dynaTrace","Compuware","Compusoft","VMware","SAP","1","2","Верен отговор! За повече информация виж секция 4.2. от реферата.","Грешен отговор! За повече информация виж секция 4.2. от реферата","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/23 5:00:46 сл.об. Гринуич+3","9999","3","Реферат по WWW.","3","Как се нарича патентовата технология за тестване на dynaTrace?","PurePath","PathPure","CleanPath","PathClean","1","1","Верен отговор! За повече информация по темата виж секция 4.2.4. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.2.4. от реферата","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:16:53 сл.об. Гринуич+3","9999","4","Реферат на тема dynaTrace.","3","Кое от следните е версия на dynaTrace?","Test Center Edition","Tester Edition","Ultra Test Edition","Testing Center Edition","1","4","Верен отговор. За повече информация по темата виж секция 4.2 от реферата.","Грешен отговор. За повече информация по темата виж секция 4.2 от реферата.","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:23:43 сл.об. Гринуич+3","9999","5","Реферат на тема dynaTrace.","3","Как се казва безплатната версия на dynaTrace?","Ajax Edition","Test Centurion Edition","Free Edition","Tester Edition","1","4","Верен отговор! За повече информация по темата виж секция 4.3 от реферата.","Грешен отговор! За повече информация по темата виж секция 4.3 от реферата.","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/24 11:23:01 пр.об. Гринуич+3","9999","1","Реферат на тема JMeter","1","Някой знае ли как се стартира JMeter ","Да","Не","Мисля, че мога да го стартирам","Това нещо не е инсталирано и не работи","1","1","За повече информация посетете сайта на apache JMeter: http://jmeter.apache.org/","Виж секцията ''Как да се сдобием и инсталираме Apache JMeter'' от реферата !","Ако сме на друга операционна система различна от Windows, файл с какво разширение трябва да стартираме."
"2013/04/24 11:31:12 пр.об. Гринуич+3","9999","2","Реферат на тема JMeter","3","Нужно ли е да имаме инсталирана програма на нашата машина, за да може Apache JMeter да работи след като го свалим ?!?","Да, нужно е да имаме JVM v.6 или по-нова.","Не, трябва само да инсталираме JMeter","Трябва да ползваме Windows като операционна система","Нужно е да имаме инсталиран Google Chrome ","1","1","Браво !","Грешка, слушай  и чети повече !","Въпроса няма особености ."
"2013/04/24 11:38:20 пр.об. Гринуич+3","9999","3","Реферат на тема JMeter","3","Apache JMeter може да се ползва единствено за тестване на Web приложения","Не, това не е вярно","Да, това е вярно","Може да се използва  за тестване на Web приложения и Java обекти само","С apache JMeter не можем да тестваме нищо, може само да симулираме разни натоварвания върху различни програми и сървъри","1","3","Отлично.За  повече информация погледни в реферата или на адрес http://jmeter.apache.org/","Грешка! Виж характеристиките и разясненията за JMeter в реферата или прочети повече на официалния сайт.","няма особености линк към официалния сайт: http://jmeter.apache.org/"
"2013/04/24 11:46:45 пр.об. Гринуич+3","9999","4","Реферат на тема JMeter","1","Прибавянето на нови елементи става единствено като кликнем с десен бутон  върху елемент от дървото (tree) и изберем нов елемент от ‘’add’’ листа.","Не, това не е вярно.Нови елементи могат да бъдат добавени алтернативно и чрез опциите ''merge'' или ''open''.","Елементите се добавят сами в зависимост от това какъв тест искаме да пуснем.","Да, това е единствения начин.","Някои тестове и симулаии не разполагат с елементи, а само с готови статистики и графики с готовата информация/","1","3","Отлично! Прочел си правилно :)","Грешка.Елементите са основни за всички функционалности на JMeter и могат да се добавят и чрез open и merge също.","Ако аз съм объркал нещо, моля да ме извините :) :D"
