"Клеймо за време","Факултетен номер","Номер на въпроса","Цел на въпроса","Тип на въпроса","Въпрос","Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор","Забележка"
"2013/04/02 12:12:26 сл.об. Гринуич+3","9999","1","Да провери колко време отнема писането на реферат по WWW.","","Колко време според вас отнема писането на реферат по WWW технологии?","20+ часа","10 часа","5 часа","1 час","1","5","Браво! Наистина времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Далече от истината! Времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Виж: http://moodle.le.tsdoit.org/pluginfile.php/842/mod_forum/attachment/139/wwwTech_Evaluation_Instructions_v3.pdf"
"2013/04/23 4:46:06 сл.об. Гринуич+3","61524","1","Да се разбере дали студентите са наясно с APM","3","Какво е APM?","аpplication performance management","automatic performance management","application project management","automatic project management","1","3","Верен отговор! За повече информация по темата виж секция 4.1. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.1. от реферата.","http://en.wikipedia.org/wiki/Application_Performance_Management"
"2013/04/23 4:52:06 сл.об. Гринуич+3","61524","2","Да се проверят елементарните знания за dynaTrace.","3","На коя компания принадлежи dynaTrace","Compuware","Compusoft","VMware","SAP","1","2","Верен отговор! За повече информация виж секция 4.2. от реферата.","Грешен отговор! За повече информация виж секция 4.2. от реферата","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/23 5:00:46 сл.об. Гринуич+3","61524","3","Да се определят знанията след презентацията ","3","Как се нарича патентовата технология за тестване на dynaTrace?","PurePath","PathPure","CleanPath","PathClean","1","1","Верен отговор! За повече информация по темата виж секция 4.2.4. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.2.4. от реферата","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:16:53 сл.об. Гринуич+3","61524","4","Да се определи нивото на знания за версиите на dynaTrace.","3","Кое от следните е версия на dynaTrace?","Test Center Edition","Tester Edition","Ultra Test Edition","Testing Center Edition","1","4","Верен отговор. За повече информация по темата виж секция 4.2 от реферата.","Грешен отговор. За повече информация по темата виж секция 4.2 от реферата.","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:23:43 сл.об. Гринуич+3","61524","5","Да се установи нивото на знания на студентите относно dynaTrace Ajax Edition","3","Как се казва безплатната версия на dynaTrace?","Ajax Edition","Test Centurion Edition","Free Edition","Tester Edition","1","4","Верен отговор! За повече информация по темата виж секция 4.3 от реферата.","Грешен отговор! За повече информация по темата виж секция 4.3 от реферата.","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/24 11:23:01 пр.об. Гринуич+3","61529","1","Да установи дали някой е използвал JMeter, има опит с него или е заинтересовам от приложението","1","Някой знае ли как се стартира JMeter ","Да","Не","Мисля, че мога да го стартирам","Това нещо не е инсталирано и не работи","1","1","За повече информация посетете сайта на apache JMeter: http://jmeter.apache.org/","Виж секцията ''Как да се сдобием и инсталираме Apache JMeter'' от реферата !","Ако сме на друга операционна система различна от Windows, файл с какво разширение трябва да стартираме."
"2013/04/24 11:31:12 пр.об. Гринуич+3","61529","2","Да установи дали аудиторията знае как и какво е нужно, за да ''подкарат'' приложението.","3","Нужно ли е да имаме инсталирана програма на нашата машина, за да може Apache JMeter да работи след като го свалим ?!?","Да, нужно е да имаме JVM v.6 или по-нова.","Не, трябва само да инсталираме JMeter","Трябва да ползваме Windows като операционна система","Нужно е да имаме инсталиран Google Chrome ","1","1","Браво !","Грешка, слушай  и чети повече !","Въпроса няма особености ."
"2013/04/24 11:38:20 пр.об. Гринуич+3","61529","3","Да установи дали аудиторията е придобила някакви знания от реферата( или пък дали вече не разполага с тези знания от допълнителни източници)","3","Apache JMeter може да се ползва единствено за тестване на Web приложения","Не, това не е вярно","Да, това е вярно","Може да се използва  за тестване на Web приложения и Java обекти само","С apache JMeter не можем да тестваме нищо, може само да симулираме разни натоварвания върху различни програми и сървъри","1","3","Отлично.За  повече информация погледни в реферата или на адрес http://jmeter.apache.org/","Грешка! Виж характеристиките и разясненията за JMeter в реферата или прочети повече на официалния сайт.","няма особености
линк към официалния сайт: http://jmeter.apache.org/"
"2013/04/24 11:46:45 пр.об. Гринуич+3","61529","4","Да установи дали аудиторията е придобила някакви знания от реферата ( или пък вече ги е имала)","1","Прибавянето на нови елементи става единствено като кликнем с десен бутон  върху елемент от дървото (tree) и изберем нов елемент от ‘’add’’ листа.","Не, това не е вярно.Нови елементи могат да бъдат добавени алтернативно и чрез опциите ''merge'' или ''open''.","Елементите се добавят сами в зависимост от това какъв тест искаме да пуснем.","Да, това е единствения начин.","Някои тестове и симулаии не разполагат с елементи, а само с готови статистики и графики с готовата информация/","1","3","Отлично! Прочел си правилно :)","Грешка.Елементите са основни за всички функционалности на JMeter и могат да се добавят и чрез open и merge също.","Ако аз съм объркал нещо, моля да ме извините :) :D
"
"2013/04/24 11:55:18 пр.об. Гринуич+3","61529","5","Да установи дали са придобити някакви знания от реферата.","3","Кои елементи са начална точка за всеки един тестови план в Apache JMeter ?","Това са елементите на нишковите групи (thread groups)","Това са Controllers and Samplers","Всички елементи могат да се разглеждат като начална точка на тестовия план.","Това са таймерите.","1","4","Отлично! Разбрал си, че без елементите на нишковата група не може да се започне нов тестови план.Винаги имаме поне един thread !!!","Погледни по-добре реферата :P ","В реферата не са описани всички елементи на Apache JMeter, а само някои от най-важните !!!"
"2013/04/27 12:05:45 сл.об. Гринуич+3","61446","1","Разбрано ли е какво точно е JSP","3","Кое не е предимство на JSP в сравнвние с други технологии?","Предимство на JSP срещу АSP  е, че е написана на Java","Предимство на JSP срещу Static HTML   е, че е не съдържа динамична информация","Предимство на JSP срещу SSI  е, че се използва в по-големи  и сложни програми","Предимство на JSP срещу JavaScript  е, че има достъп до база данни","2","3","Това е правилният отговор!","Вие отговорихте грешно!
Моля, погледнете секцията: Предимства на JSP в сравнвние с други технологии","http://www.tutorialspoint.com/jsp/ "
